No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
139,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,30.61B,-,62.24,-0.55%,"322,982"
122,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,578.82M,-,8.22,-1.20%,"59,395"
124,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,130.11M,-,14.11,2.92%,"11,958"
126,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,5.46B,30.08,35.65,-2.77%,"98,345"
128,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,20.69B,29.95,109.39,-0.11%,"162,075"
130,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,18.32B,34.57,113.78,-0.27%,"302,447"
132,AKCA,"Akcea Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.84B,-,18.17,0.00%,0
134,AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.02B,-,29.03,0.35%,"27,330"
136,AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USA,3.47B,5.96,29.71,-4.04%,"131,320"
138,ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,700.48M,-,36.53,-1.91%,"27,759"
140,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,270.06M,-,7.20,2.56%,"52,669"
141,ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,USA,2.88B,16.98,53.53,-2.44%,"18,634"
143,ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA,884.15M,-,12.05,-2.74%,"49,932"
145,ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA,1.40B,25.10,116.29,-1.30%,"2,839"
147,ALGT,Allegiant Travel Company,Industrials,Airlines,USA,2.03B,-,125.29,-2.08%,"39,800"
149,ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland,2.79B,-,17.36,-0.94%,"396,674"
151,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,9.91B,35.20,106.09,-1.55%,"104,808"
153,ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA,5.68B,-,42.02,0.43%,"123,079"
155,ALLY,Ally Financial Inc.,Financial,Credit Services,USA,10.39B,15.81,28.11,1.37%,"1,331,748"
157,ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA,2.96B,54.62,61.37,0.05%,"21,773"
159,ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,USA,4.54B,11.38,38.54,-3.87%,"231,226"
142,ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA,846.20M,-,10.61,1.05%,"173,443"
144,ALFA,ETF Series Solutions - AlphaClone Alternative Alpha ETF,Financial,Exchange Traded Fund,USA,-,-,70.75,0.62%,159
146,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,26.37B,15.61,330.83,-1.46%,"105,306"
148,ALK,"Alaska Air Group, Inc.",Industrials,Airlines,USA,4.74B,91.67,38.35,-0.16%,"586,517"
150,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,29.67B,7.06,92.94,-1.40%,"314,032"
152,ALLK,Allakos Inc.,Healthcare,Biotechnology,USA,4.12B,-,81.51,-1.02%,"14,175"
154,ALLT,Allot Ltd.,Technology,Communication Equipment,Israel,357.58M,-,10.24,0.84%,"89,858"
156,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,16.94B,-,146.57,-0.30%,"47,556"
158,ALSK,"Alaska Communications Systems Group, Inc.",Communication Services,Telecom Services,USA,109.96M,11.77,2.04,-0.97%,"15,501"
160,ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA,445.79M,-,15.64,24.13%,"7,880,107"
161,ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,USA,240.17M,-,7.89,-0.75%,"16,127"
163,ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden,7.15B,50.90,80.96,-1.39%,"89,918"
165,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,26.96B,33.32,123.96,-0.34%,"336,967"
167,AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,460.90M,-,13.35,0.07%,"328,913"
169,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.93B,-,56.65,-1.43%,"72,946"
171,AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,USA,455.94M,-,3.76,-7.93%,"4,469,036"
173,AMCX,AMC Networks Inc.,Communication Services,Broadcasting,USA,1.29B,7.19,24.64,0.24%,"865,444"
175,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA,24.61B,27.90,107.08,-0.51%,"68,410"
177,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,3.58B,30.88,76.85,-0.18%,"43,292"
179,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,9.03B,108.83,29.81,-0.05%,"438,545"
162,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,USA,3.35B,-,46.47,0.58%,"18,183"
164,ALVR,"AlloVir, Inc.",Healthcare,Biotechnology,USA,1.68B,-,25.48,0.77%,"31,821"
166,AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,USA,2.91B,-,6.31,3.78%,"1,506,737"
168,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,58.43B,18.79,65.22,0.83%,"1,881,850"
170,AMBC,"Ambac Financial Group, Inc.",Financial,Insurance - Specialty,USA,654.25M,-,13.45,-3.58%,"30,754"
