No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
172,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,17.80B,29.46,11.45,0.17%,"593,163"
174,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,103.02B,167.57,85.77,1.76%,"14,874,543"
176,AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA,7.94B,64.53,252.05,0.99%,"13,991"
178,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,142.29B,19.57,240.48,0.40%,"408,950"
180,AMJ,JPMorgan Alerian MLP Index ETN,Financial,Exchange Traded Fund,USA,-,-,11.76,0.00%,"215,847"
181,AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,USA,2.99B,11.35,12.85,0.08%,"153,494"
183,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,3.02B,36.18,63.53,-3.16%,"80,338"
185,AMOT,Allied Motion Technologies Inc.,Technology,Electronic Components,USA,431.93M,27.96,43.51,-1.59%,423
187,AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,153.63M,-,0.86,1.79%,"1,104,780"
189,AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,USA,30.96M,-,0.78,-3.09%,"147,867"
191,AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland,1.99B,-,5.17,0.58%,"1,229,338"
193,AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.37B,-,4.80,-0.21%,"521,883"
195,AMSF,"AMERISAFE, Inc.",Financial,Insurance - Specialty,USA,1.13B,12.64,57.91,-1.73%,"8,389"
197,AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA,108.79B,57.15,243.14,-1.32%,"338,482"
199,AMWL,American Well Corporation,Healthcare,Health Information Services,USA,8.76B,-,34.03,-1.96%,"716,204"
182,AMLP,Alerian MLP ETF,Financial,Exchange Traded Fund,USA,-,-,21.79,-0.23%,"813,696"
184,AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA,245.30M,8.18,22.09,-0.94%,"2,223"
186,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,20.57B,8.99,169.19,-1.66%,"98,389"
188,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,992.93M,258.90,21.00,-1.08%,"18,852"
190,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA,1.77B,43.90,37.74,-0.74%,"32,977"
192,AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA,604.41M,-,2.96,-1.66%,"422,102"
194,AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,USA,383.07M,-,17.59,1.62%,"48,590"
196,AMSWA,"American Software, Inc.",Technology,Software - Application,USA,485.00M,66.28,15.09,-2.74%,"7,720"
198,AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.55B,24.32,90.54,-1.97%,"17,918"
200,AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico,41.63B,36.29,12.73,-0.62%,"320,640"
201,AMZA,InfraCap MLP ETF,Financial,Exchange Traded Fund,USA,-,-,14.91,-0.96%,"58,701"
203,AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,5.36B,17.57,60.94,0.80%,"105,160"
205,ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,USA,2.03B,7.87,73.08,-1.40%,"5,664"
207,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,16.96B,24.30,225.63,-1.15%,"101,410"
209,ANGI,ANGI Homeservices Inc.,Communication Services,Internet Content & Information,USA,5.31B,261.19,11.27,2.73%,"509,049"
211,ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,USA,437.93M,-,11.31,-0.44%,"48,496"
213,ANIK,"Anika Therapeutics, Inc.",Healthcare,Biotechnology,USA,547.22M,50.15,38.36,-1.44%,"5,454"
215,ANSS,"ANSYS, Inc.",Technology,Software - Application,USA,29.55B,75.82,351.02,0.91%,"70,273"
217,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,74.81B,12.97,296.39,-0.73%,"165,563"
219,AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA,9.05B,31.06,56.12,-0.65%,"359,901"
202,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1674.09B,132.34,3475.41,0.94%,"2,141,173"
204,ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,USA,453.26M,-,17.40,3.85%,"67,052"
206,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,660.81M,-,20.24,1.81%,"32,912"
208,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA,1.06B,-,16.32,-1.39%,"542,828"
210,ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,Financial,Exchange Traded Fund,USA,-,-,30.24,-0.21%,"87,973"
212,ANH,Anworth Mortgage Asset Corporation,Real Estate,REIT - Mortgage,USA,176.51M,-,1.74,-1.42%,"37,843"
214,ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,369.16M,-,29.37,-3.89%,"6,924"
216,ANTE,AirNet Technology Inc.,Communication Services,Advertising Agencies,China,10.23M,-,0.85,2.35%,913
218,AON,Aon Plc,Financial,Insurance Brokers,United Kingdom,49.38B,28.57,212.21,-1.08%,"183,759"
220,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,USA,435.06M,-,16.90,0.42%,"17,523"
221,AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,USA,210.74M,-,15.00,-0.53%,"27,477"
223,APA,Apache Corporation,Energy,Oil & Gas E&P,USA,3.68B,-,9.06,-2.69%,"3,591,423"
225,APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA,66.69B,35.11,302.54,-0.11%,"175,573"
227,APEX,Apex Global Brands Inc.,Consumer Cyclical,Apparel Retail,USA,3.62M,-,6.70,0.07%,"83,392"
229,APH,Amphenol Corporation,Technology,Electronic Components,USA,34.24B,31.99,113.75,-0.88%,"195,938"
231,API,"Agora, Inc.",Technology,Software - Application,China,4.15B,-,45.85,-0.38%,"232,528"
233,APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.60B,-,35.28,-0.31%,"38,949"
235,APO,"Apollo Global Management, Inc.",Financial,Asset Management,USA,19.55B,-,42.89,-2.30%,"552,383"
237,APPF,"AppFolio, Inc.",Technology,Software - Application,USA,5.61B,193.02,168.25,1.36%,"14,832"
239,APPS,"Digital Turbine, Inc.",Technology,Software - Application,USA,3.30B,134.86,38.28,-0.06%,"674,684"
222,AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,USA,47.98M,7.31,3.60,-0.42%,"18,542"
224,APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA,3.43B,16.58,45.32,0.31%,"94,181"
226,APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,USA,459.90M,36.23,31.32,-0.98%,"6,737"
228,APG,APi Group Corporation,Industrials,Engineering & Construction,USA,2.53B,-,15.01,-0.53%,"145,873"
230,APHA,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.70B,21.30,6.20,-2.59%,"5,840,091"
232,APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA,2.46B,-,10.36,-4.43%,"419,242"
234,APLT,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,USA,523.89M,-,22.97,-0.69%,"2,318"
236,APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,USA,656.66M,14.55,25.70,-1.60%,"53,918"
238,APPN,Appian Corporation,Technology,Software - Infrastructure,USA,5.05B,-,79.91,4.80%,"255,827"
240,APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,Internet Retail,USA,123.31M,-,7.23,1.26%,"113,181"
241,APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,204.49M,16.20,14.78,0.68%,"187,601"
243,APTS,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,299.71M,-,5.80,-0.68%,"76,937"
245,APYX,Apyx Medical Corporation,Healthcare,Medical Devices,USA,191.27M,-,5.49,-1.44%,895
247,AQMS,"Aqua Metals, Inc.",Industrials,Waste Management,USA,60.98M,-,0.93,-0.24%,"121,219"
249,AQUA,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,2.83B,35.14,24.15,-1.95%,"225,534"
251,ARA,"American Renal Associates Holdings, Inc.",Healthcare,Diagnostics & Research,USA,401.12M,-,11.59,0.70%,"35,153"
253,ARAY,Accuray Incorporated,Healthcare,Medical Devices,USA,257.93M,67.50,2.75,1.86%,"119,510"
255,ARCB,ArcBest Corporation,Industrials,Trucking,USA,918.51M,32.81,34.67,-1.78%,"31,723"
257,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,619.68M,46.75,38.19,-2.87%,"72,538"
259,ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare,Biotechnology,USA,1.29B,-,51.97,-1.05%,"109,020"
242,APTO,Aptose Biosciences Inc.,Healthcare,Biotechnology,Canada,502.14M,-,6.06,1.00%,"64,881"
244,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,26.51B,14.96,96.06,-2.24%,"395,654"
246,AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,USA,219.95M,-,4.47,-1.87%,"120,067"
248,AQST,"Aquestive Therapeutics, Inc.",Healthcare,Biotechnology,USA,155.43M,-,4.93,4.67%,"245,344"
250,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,988.11M,-,3.83,2.27%,"2,573,857"
252,ARAV,"Aravive, Inc.",Healthcare,Biotechnology,USA,75.80M,-,5.00,0.20%,"8,389"
254,ARC,"ARC Document Solutions, Inc.",Industrials,Specialty Business Services,USA,46.87M,11.52,1.06,0.00%,"2,552"
256,ARCC,Ares Capital Corporation,Financial,Asset Management,USA,5.98B,137.48,14.15,-0.09%,"253,596"
258,ARCO,Arcos Dorados Holdings Inc.,Consumer Cyclical,Restaurants,Uruguay,899.00M,-,4.33,-0.92%,"104,303"
260,ARD,Ardagh Group S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg,3.29B,-,14.00,-0.78%,"5,775"
261,ARDX,"Ardelyx, Inc.",Healthcare,Biotechnology,USA,503.64M,-,5.55,-1.77%,"55,183"
263,ARES,Ares Management Corporation,Financial,Asset Management,USA,11.12B,95.73,43.38,0.24%,"91,943"
265,ARGX,argenx SE,Healthcare,Biotechnology,Netherlands,13.22B,-,276.68,-1.37%,"33,503"
267,ARKF,ARK Fintech Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,43.51,0.58%,"222,896"
269,ARKK,ARK Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,103.34,0.99%,"906,320"
271,ARKW,ARK Next Generation Internet ETF,Financial,Exchange Traded Fund,USA,-,-,120.21,1.06%,"297,051"
273,ARLP,"Alliance Resource Partners, L.P.",Energy,Thermal Coal,USA,362.60M,-,2.75,-1.63%,"126,438"
275,ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,4.72B,-,83.79,-0.95%,"166,067"
277,AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,USA,905.49M,-,5.77,-1.20%,"109,414"
279,ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage,USA,652.75M,-,9.93,-0.65%,"163,141"
262,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,USA,21.17B,51.06,166.45,-0.27%,"90,885"
264,ARGT,Global X MSCI Argentina ETF,Financial,Exchange Traded Fund,USA,-,-,24.80,-0.20%,"3,459"
266,ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REIT - Mortgage,USA,1.41B,3096.67,9.16,-1.40%,"216,130"
268,ARKG,ARK Genomic Revolution ETF,Financial,Exchange Traded Fund,USA,-,-,73.75,0.63%,"289,570"
270,ARKQ,ARK Autonomous Technology & Robotics ETF,Financial,Exchange Traded Fund,USA,-,-,62.65,-0.59%,"86,729"
272,ARLO,"Arlo Technologies, Inc.",Industrials,Security & Protection Services,USA,443.85M,-,5.60,-2.27%,"323,940"
274,ARMK,Aramark,Consumer Cyclical,Restaurants,USA,7.15B,-,27.51,-3.41%,"144,118"
276,ARNC,Arconic Corporation,Industrials,Metal Fabrication,USA,2.35B,16.52,22.32,0.22%,"67,794"
278,AROW,Arrow Financial Corporation,Financial,Banks - Regional,USA,427.35M,11.53,27.50,-0.59%,"1,106"
280,ARTNA,Artesian Resources Corporation,Utilities,Utilities - Regulated Water,USA,340.58M,20.93,36.30,0.08%,"7,141"
281,ARVN,"Arvinas, Inc.",Healthcare,Biotechnology,USA,2.02B,-,25.28,1.61%,"46,687"
283,ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,4.95B,-,46.20,-0.41%,"165,313"
285,ASAN,"Asana, Inc.",Technology,Software - Application,USA,3.97B,-,24.71,-0.68%,"392,929"
287,ASC,Ardmore Shipping Corporation,Energy,Oil & Gas Midstream,Bermuda,115.35M,6.87,3.22,-4.17%,"52,241"
289,ASH,Ashland Global Holdings Inc.,Basic Materials,Chemicals,USA,4.46B,-,74.74,0.36%,"116,685"
291,ASHS,Xtrackers Harvest CSI 500 China-A Shares Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,35.25,-0.41%,619
293,ASMB,"Assembly Biosciences, Inc.",Healthcare,Biotechnology,USA,518.55M,-,15.60,0.45%,"132,629"
295,ASND,Ascendis Pharma A/S,Healthcare,Biotechnology,Denmark,8.46B,-,160.99,0.69%,"28,364"
297,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Industrials,Airports & Air Services,Mexico,3.55B,19.38,115.06,-3.28%,"18,226"
299,ASRV,"AmeriServ Financial, Inc.",Financial,Banks - Regional,USA,49.53M,9.62,2.87,-1.20%,"2,067"
282,ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,USA,6.53B,17.72,83.56,-0.44%,"54,759"
284,ASA,ASA Gold and Precious Metals Limited,Financial,Asset Management,USA,426.11M,3.10,21.77,-1.45%,"13,901"
286,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,2.21B,6.64,13.76,-2.62%,"211,625"
288,ASGN,ASGN Incorporated,Industrials,Staffing & Employment Services,USA,3.79B,19.77,69.71,-0.83%,"17,644"
290,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,Financial,Exchange Traded Fund,USA,-,-,36.42,-0.03%,"942,019"
292,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,USA,404.13M,15.54,14.04,-1.27%,"18,918"
294,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,165.45B,49.16,401.53,0.62%,"307,757"
296,ASPS,Altisource Portfolio Solutions S.A.,Financial,Mortgage Finance,Luxembourg,206.07M,-,13.10,-2.67%,"7,617"
298,ASRT,"Assertio Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,79.94M,-,0.77,-1.00%,"59,284"
300,ASTE,"Astec Industries, Inc.",Industrials,Farm & Heavy Construction Machinery,USA,1.35B,93.20,58.53,-1.09%,"11,815"
301,ASUR,"Asure Software, Inc.",Technology,Software - Application,USA,127.03M,-,8.20,0.12%,"6,362"
303,AT,Atlantic Power Corporation,Utilities,Utilities - Independent Power Producers,USA,182.02M,-,2.03,-2.17%,"15,847"
305,ATCO,Atlas Corp.,Financial,Asset Management,Canada,2.30B,12.27,9.34,-0.11%,"64,339"
307,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,USA,559.95M,156.60,7.30,-0.82%,"182,234"
309,ATGE,Adtalem Global Education Inc.,Consumer Defensive,Education & Training Services,USA,1.38B,5.76,26.09,-1.14%,"22,986"
311,ATHM,Autohome Inc.,Communication Services,Internet Content & Information,China,12.07B,25.99,100.86,-0.18%,"29,075"
313,ATI,Allegheny Technologies Incorporated,Industrials,Metal Fabrication,USA,1.22B,-,9.09,-1.30%,"397,659"
315,ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,USA,219.27M,6.78,13.46,-1.54%,76
317,ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,137.08M,-,10.49,0.10%,"37,496"
319,ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,USA,11.95B,19.92,95.19,-1.47%,"131,565"
302,ASYS,"Amtech Systems, Inc.",Technology,Semiconductor Equipment & Materials,USA,82.84M,-,6.13,1.17%,"4,406"
304,ATAX,"America First Multifamily Investors, L.P.",Financial,Mortgage Finance,USA,248.27M,10.44,4.02,-0.69%,"28,406"
306,ATEC,"Alphatec Holdings, Inc.",Healthcare,Medical Devices,USA,610.06M,-,10.06,3.18%,"262,678"
308,ATEX,Anterix Inc.,Communication Services,Telecom Services,USA,606.56M,-,34.45,-1.12%,"9,580"
310,ATH,Athene Holding Ltd.,Financial,Insurance - Diversified,Bermuda,7.26B,14.07,35.92,-2.97%,"172,578"
312,ATHX,"Athersys, Inc.",Healthcare,Biotechnology,USA,379.03M,-,1.92,0.00%,"177,648"
314,ATKR,Atkore International Group Inc.,Industrials,Specialty Industrial Machinery,USA,1.15B,8.40,24.02,-2.51%,"151,438"
316,ATNI,"ATN International, Inc.",Communication Services,Telecom Services,USA,808.56M,-,49.51,-2.21%,"2,808"
318,ATNX,"Athenex, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.21B,-,12.49,1.05%,"109,610"
320,ATOM,Atomera Incorporated,Technology,Semiconductor Equipment & Materials,USA,201.79M,-,10.31,-0.67%,"142,870"
321,ATOS,"Atossa Therapeutics, Inc.",Healthcare,Biotechnology,USA,23.67M,-,2.25,0.00%,"29,363"
323,ATRA,"Atara Biotherapeutics, Inc.",Healthcare,Biotechnology,USA,1.08B,-,14.50,-0.68%,"82,397"
325,ATRS,"Antares Pharma, Inc.",Healthcare,Medical Instruments & Supplies,USA,551.40M,101.21,3.36,0.45%,"150,406"
327,ATUS,"Altice USA, Inc.",Communication Services,Telecom Services,USA,16.21B,90.94,28.21,1.04%,"1,475,369"
329,AU,AngloGold Ashanti Limited,Basic Materials,Gold,South Africa,10.85B,18.39,27.20,-1.91%,"1,014,692"
331,AUDC,AudioCodes Ltd.,Technology,Communication Equipment,Israel,1.06B,143.64,34.02,-0.90%,"43,878"
333,AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology,Canada,1.98B,-,15.55,-0.96%,"162,064"
335,AUY,Yamana Gold Inc.,Basic Materials,Gold,Canada,5.87B,22.52,6.08,-1.46%,"5,669,230"
337,AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,USA,1.69B,50.37,69.53,-2.85%,"30,138"
339,AVD,American Vanguard Corporation,Basic Materials,Agricultural Inputs,USA,450.11M,41.03,14.78,-2.34%,"13,814"
322,ATR,"AptarGroup, Inc.",Consumer Cyclical,Packaging & Containers,USA,7.59B,38.69,118.14,0.08%,"28,730"
324,ATRC,"AtriCure, Inc.",Healthcare,Medical Instruments & Supplies,USA,1.78B,-,40.68,-0.68%,"27,402"
326,ATSG,"Air Transport Services Group, Inc.",Industrials,Integrated Freight & Logistics,USA,1.62B,26.83,27.33,-0.22%,"112,209"
328,ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,62.24B,34.60,81.33,0.33%,"1,425,879"
330,AUB,Atlantic Union Bankshares Corporation,Financial,Banks - Regional,USA,2.01B,13.66,24.02,-3.57%,"12,726"
332,AUMN,Golden Minerals Company,Basic Materials,Other Precious Metals & Mining,USA,61.56M,-,0.45,4.22%,"506,607"
334,AUTO,"AutoWeb, Inc.",Communication Services,Internet Content & Information,USA,55.35M,-,4.36,-3.21%,"211,435"
336,AVA,Avista Corporation,Utilities,Utilities - Diversified,USA,2.42B,19.73,34.81,-2.52%,"30,303"
338,AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,USA,22.64B,28.46,154.79,-2.71%,"191,630"
340,AVDL,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,337.39M,-,5.62,1.63%,"154,324"
341,AVEO,"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,168.28M,-,6.41,-0.62%,"28,838"
343,AVID,"Avid Technology, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,399.97M,28.94,8.94,-0.39%,"77,090"
345,AVNS,"Avanos Medical, Inc.",Healthcare,Medical Devices,USA,1.83B,-,38.54,-0.46%,"28,486"
347,AVRO,"AVROBIO, Inc.",Healthcare,Biotechnology,USA,568.89M,-,15.64,3.37%,"23,954"
349,AVTR,"Avantor, Inc.",Basic Materials,Specialty Chemicals,USA,14.09B,105.21,24.38,-0.97%,"1,040,420"
351,AVY,Avery Dennison Corporation,Industrials,Business Equipment & Supplies,USA,10.92B,20.95,129.66,0.27%,"42,617"
353,AWH,Aspira Women's Health Inc.,Healthcare,Diagnostics & Research,USA,336.53M,-,3.26,-3.83%,"68,643"
355,AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,USA,28.71B,44.91,154.78,-2.24%,"186,352"
357,AWRE,"Aware, Inc.",Technology,Software - Application,USA,58.91M,-,2.72,0.93%,874
359,AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas E&P,USA,24.43M,-,0.16,-2.64%,"2,717,970"
342,AVGO,Broadcom Inc.,Technology,Semiconductors,USA,153.31B,71.68,382.35,-0.02%,"372,324"
344,AVLR,"Avalara, Inc.",Technology,Software - Application,USA,12.26B,-,154.54,1.11%,"81,165"
346,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,USA,2.98B,31.26,31.96,0.22%,"75,475"
348,AVT,"Avnet, Inc.",Technology,Electronics & Computer Distribution,USA,2.77B,-,28.67,0.87%,"159,912"
350,AVXL,Anavex Life Sciences Corp.,Healthcare,Biotechnology,USA,267.85M,-,4.50,1.81%,"53,698"
352,AVYA,Avaya Holdings Corp.,Technology,Software - Application,USA,1.57B,-,18.29,-1.51%,"207,239"
354,AWI,"Armstrong World Industries, Inc.",Industrials,Building Products & Equipment,USA,3.32B,-,68.61,-0.58%,"80,637"
356,AWR,American States Water Company,Utilities,Utilities - Regulated Water,USA,2.91B,34.68,77.80,-1.66%,"17,817"
358,AX,"Axos Financial, Inc.",Financial,Banks - Regional,USA,1.61B,8.97,26.39,-1.09%,"78,434"
360,AXDX,"Accelerate Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,639.12M,-,11.62,2.47%,"9,768"
361,AXGN,"AxoGen, Inc.",Healthcare,Medical Devices,USA,516.65M,-,13.70,-0.51%,"36,244"
363,AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Cyclical,Auto Parts,USA,777.03M,-,6.72,-2.68%,"476,344"
365,AXP,American Express Company,Financial,Credit Services,USA,85.61B,22.08,106.06,-0.52%,"741,709"
367,AXSM,"Axsome Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.76B,-,75.50,2.00%,"56,878"
369,AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,USA,253.79M,-,6.20,-1.74%,"82,749"
371,AY,Atlantica Sustainable Infrastructure plc,Utilities,Utilities - Renewable,United Kingdom,3.11B,176.11,29.20,-0.71%,"115,219"
373,AYRO,"Ayro, Inc.",Consumer Cyclical,Auto Manufacturers,USA,68.49M,1.55,2.84,-1.27%,"133,942"
375,AZEK,The AZEK Company Inc.,Industrials,Building Products & Equipment,USA,5.73B,-,37.04,-1.33%,"150,414"
377,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,27.01B,15.87,1166.05,1.92%,"40,311"
379,AZUL,Azul S.A.,Industrials,Airlines,Brazil,1.51B,-,13.46,-4.67%,"794,805"
362,AXGT,Axovant Gene Therapies Ltd.,Healthcare,Biotechnology,United Kingdom,167.29M,-,3.71,0.82%,"754,176"
364,AXNX,"Axonics Modulation Technologies, Inc.",Healthcare,Medical Devices,USA,1.96B,-,48.88,-2.83%,"96,367"
366,AXS,AXIS Capital Holdings Limited,Financial,Insurance - Property & Casualty,Bermuda,3.83B,-,44.90,-1.64%,"48,696"
368,AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals,USA,6.05B,80.03,25.90,-0.12%,"629,197"
370,AXU,Alexco Resource Corp.,Industrials,Waste Management,Canada,347.50M,-,2.75,-3.17%,"554,562"
372,AYI,"Acuity Brands, Inc.",Industrials,Electrical Equipment & Parts,USA,3.94B,14.33,96.82,-0.70%,"243,278"
374,AYX,"Alteryx, Inc.",Technology,Software - Application,USA,9.43B,-,147.20,-0.11%,"426,846"
376,AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,143.33B,67.57,54.89,-0.69%,"1,056,286"
378,AZPN,"Aspen Technology, Inc.",Technology,Software - Application,USA,8.83B,40.70,134.28,0.26%,"67,011"
380,AZZ,AZZ Inc.,Industrials,Electrical Equipment & Parts,USA,980.18M,30.19,35.18,-5.78%,"41,731"
381,B,Barnes Group Inc.,Industrials,Specialty Industrial Machinery,USA,1.99B,17.38,38.50,-2.80%,"10,390"
383,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,831.06B,31.71,307.70,0.44%,"3,516,065"
385,BAH,Booz Allen Hamilton Holding Corporation,Industrials,Consulting Services,USA,11.27B,23.29,80.91,-0.80%,"117,970"
387,BAM,Brookfield Asset Management Inc.,Financial,Asset Management,Canada,53.42B,121.21,34.38,-2.19%,"330,155"
